age,annual_income,spending_score
39,534000,61
42,1008000,64
34,830000,27
28,360000,45
27,1100000,51
24,1050000,57
23,550000,45
51,1200000,57
42,1300000,78
36,900000,57
21,360000,27
26,960000,71
27,1400000,78
36,1100000,56
36,360000,26
36,1100000,57
32,960000,56
26,360000,26
32,1100000,56
24,550000,26
27,1400000,36
32,830000,26
26,360000,36
51,1100000,26
42,1400000,56
32,360000,26
26,360000,26
38,1100000,36
26,360000,26
36,1100000,56
26,360000,26
36,1100000,57
26,360000,27
36,1008000,57
26,360000,26
36,1100000,56
26,360000,27
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
24,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,57
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
28,360000,26
32,360000,26
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,26
36,1100000,56
26,360000,56
36,1100000,56
26,360000,56
36,1100000,56
26,360000,56
36,1100000,56
26,360000,56
36,1100000,56
26,360000,56
